,Artist,Link,Title,Year,Genre
0,금호동,https://www.melon.com/song/detail.htm?songId=4083218,내일또 만납시다,1964,성인가요
1,최숙자,https://www.melon.com/song/detail.htm?songId=1003023,눈물의 연평도,1964,성인가요
2,이미자,https://www.melon.com/song/detail.htm?songId=1754987,님이라 부르리까,1964,성인가요
3,이미자,https://www.melon.com/song/detail.htm?songId=1002782,동백아가씨,1964,성인가요
4,현미,https://www.melon.com/song/detail.htm?songId=1003568,떠날때는 말없이,1964,성인가요
5,백야성,https://www.melon.com/song/detail.htm?songId=467355,마도로스 부기,1964,성인가요
6,최희준,https://www.melon.com/song/detail.htm?songId=1185251,맨발의 청춘,1964,성인가요
7,권혜경,https://www.melon.com/song/detail.htm?songId=5758967,물새우는 해변,1964,성인가요
8,박재란,https://www.melon.com/song/detail.htm?songId=3622464,밀짚모자 목장아가씨,1964,성인가요
9,현미,https://www.melon.com/song/detail.htm?songId=1003566,보고싶은 얼굴,1964,성인가요
10,Add 4,https://www.melon.com/song/detail.htm?songId=2517558,빗속의 여인 (1964년작),1964,록/메탈
11,남일해,https://www.melon.com/song/detail.htm?songId=467498,빨간구두 아가씨,1964,성인가요
12,박재란,https://www.melon.com/song/detail.htm?songId=1324501,소쩍새 우는 마을,1964,성인가요
13,고봉산,https://www.melon.com/song/detail.htm?songId=992864,아메리칸 마도로스,1964,성인가요
14,현미,https://www.melon.com/song/detail.htm?songId=3621978,아빠 안녕,1964,성인가요
15,오기택,https://www.melon.com/song/detail.htm?songId=1936373,영등포의 밤,1964,성인가요
16,정 시스터즈,https://www.melon.com/song/detail.htm?songId=30072384,워싱턴광장,1964,성인가요
17,남일해,https://www.melon.com/song/detail.htm?songId=1714082,이국땅,1964,성인가요
18,위키리,https://www.melon.com/song/detail.htm?songId=1925260,저녁 한때 목장풍경,1964,성인가요
19,최희준,https://www.melon.com/song/detail.htm?songId=1185247,진고개 신사,1964,성인가요
20,남일해,https://www.melon.com/song/detail.htm?songId=1714068,첫사랑 마도로스,1964,성인가요
21,최양숙,https://www.melon.com/song/detail.htm?songId=8150699,황혼의 에레지,1964,성인가요
22,조애희,https://www.melon.com/song/detail.htm?songId=1324508,내 이름은 소녀,1965,성인가요
23,곽순옥,https://www.melon.com/song/detail.htm?songId=3607035,누가 이사람을 모르시나요 (남과북 주제가),1965,성인가요
24,쟈니 브라더스,https://www.melon.com/song/detail.htm?songId=4083174,마포사는 황부자,1965,성인가요
25,남일해,https://www.melon.com/song/detail.htm?songId=3607343,맨발로 뛰어라,1965,성인가요
26,쟈니부라더스,https://www.melon.com/song/detail.htm?songId=3005345,맹호들은 간다,1965,성인가요
27,한명숙,https://www.melon.com/song/detail.htm?songId=1714080,사랑의 송가,1965,성인가요
28,박재란,https://www.melon.com/song/detail.htm?songId=1005543,산너머 남촌에는,1965,성인가요
29,박재란,https://www.melon.com/song/detail.htm?songId=5713647,아나 농부야,1965,성인가요
30,박일남,https://www.melon.com/song/detail.htm?songId=191058,아빠의 청춘,1965,성인가요
31,이미자,https://www.melon.com/song/detail.htm?songId=48707,울어라 열풍아,1965,성인가요
32,윤일로,https://www.melon.com/song/detail.htm?songId=176245,월남의 달밤,1965,성인가요
33,최희준,https://www.melon.com/song/detail.htm?songId=8095572,위를 보고 걷자,1965,성인가요
34,진송남,https://www.melon.com/song/detail.htm?songId=3720923,인정사정 볼 것 없다,1965,성인가요
35,이미자,https://www.melon.com/song/detail.htm?songId=48711,정동 대감,1965,성인가요
36,김상국,https://www.melon.com/song/detail.htm?songId=4085246,쥐구멍에도 볕들날 있다,1965,성인가요
37,박재란,https://www.melon.com/song/detail.htm?songId=5674981,진주조개잡이,1965,성인가요
38,박재란,https://www.melon.com/song/detail.htm?songId=1005548,행복의 샘터,1965,성인가요
39,이미자,https://www.melon.com/song/detail.htm?songId=1002791,황포돛대,1965,성인가요
40,오기택,https://www.melon.com/song/detail.htm?songId=3485992,고향무정,1966,성인가요
41,최희준,https://www.melon.com/song/detail.htm?songId=1002503,길잃은 철새,1966,성인가요
42,이금희,https://www.melon.com/song/detail.htm?songId=2740012,날씬한 아가씨끼리,1966,성인가요
43,이시스터즈,https://www.melon.com/song/detail.htm?songId=30700040,남성금지구역,1966,성인가요
44,위키리,https://www.melon.com/song/detail.htm?songId=992913,눈물을 감추고,1966,성인가요
45,진송남,https://www.melon.com/song/detail.htm?songId=1003821,덕수궁 돌담길,1966,성인가요
46,남상규,https://www.melon.com/song/detail.htm?songId=1002285,동백꽃 피는 고향,1966,성인가요
47,문주란,https://www.melon.com/song/detail.htm?songId=1125269,동숙의 노래,1966,발라드
48,쟈니리,https://www.melon.com/song/detail.htm?songId=1936391,뜨거운 안녕,1966,성인가요
49,조애희,https://www.melon.com/song/detail.htm?songId=30700046,말띠 신부,1966,성인가요
50,이시스터즈,https://www.melon.com/song/detail.htm?songId=8096062,목석같은 사나이,1966,성인가요
51,정원,https://www.melon.com/song/detail.htm?songId=1749952,미워하지 않으리,1966,성인가요
52,김상국,https://www.melon.com/song/detail.htm?songId=193887,불나비,1966,성인가요
53,위키리,https://www.melon.com/song/detail.htm?songId=5761039,사랑합시다,1966,성인가요
54,패티김,https://www.melon.com/song/detail.htm?songId=2249739,살짜기 옵서에,1966,성인가요
55,송춘희,https://www.melon.com/song/detail.htm?songId=4076255,수덕사의 여승,1966,성인가요
56,문주란,https://www.melon.com/song/detail.htm?songId=1125300,아카시아의 마음,1966,발라드
57,최희준,https://www.melon.com/song/detail.htm?songId=1185254,엄처시하,1966,성인가요
58,이시스터즈,https://www.melon.com/song/detail.htm?songId=1864969,울릉도 트위스트,1966,성인가요
59,최희준,https://www.melon.com/song/detail.htm?songId=1185249,종점,1966,성인가요
60,이미자,https://www.melon.com/song/detail.htm?songId=48710,지평선은 말이 없다,1966,성인가요
61,문주란,https://www.melon.com/song/detail.htm?songId=1125291,초우,1966,발라드
62,박일남,https://www.melon.com/song/detail.htm?songId=191057,충청도 아줌마,1966,성인가요
63,이금희,https://www.melon.com/song/detail.htm?songId=2740011,키다리 미스터 김,1966,성인가요
64,이미자,https://www.melon.com/song/detail.htm?songId=48734,평양기생,1966,성인가요
65,최희준,https://www.melon.com/song/detail.htm?songId=1185246,하숙생,1966,성인가요
66,정원,https://www.melon.com/song/detail.htm?songId=1749951,허무한 마음,1966,성인가요
67,이시스터즈,https://www.melon.com/song/detail.htm?songId=3620469,화진포에서 맺은 사랑,1966,성인가요
68,남진,https://www.melon.com/song/detail.htm?songId=1125008,가슴아프게,1967,성인가요
69,박일남,https://www.melon.com/song/detail.htm?songId=991634,갈대의 순정,1967,성인가요
70,김세레나,https://www.melon.com/song/detail.htm?songId=179097,갑돌이와 갑순이,1967,"국악, 국악가요"
71,김상희,https://www.melon.com/song/detail.htm?songId=1661564,경,1967,성인가요
72,최희준,https://www.melon.com/song/detail.htm?songId=903370,나는 곰이다,1967,성인가요
73,김상희,https://www.melon.com/song/detail.htm?songId=1661559,대머리 총각,1967,성인가요
74,남진,https://www.melon.com/song/detail.htm?songId=3991162,돈이면 최고냐,1967,성인가요
75,배호,https://www.melon.com/song/detail.htm?songId=1589358,돌아가는 삼각지,1967,성인가요
76,문주란,https://www.melon.com/song/detail.htm?songId=1125279,돌지않는 풍차,1967,발라드
77,신행일,https://www.melon.com/song/detail.htm?songId=47664,두메산골,1967,성인가요
78,김상희,https://www.melon.com/song/detail.htm?songId=1661563,뜨거워서 싫어요,1967,성인가요
79,남진,https://www.melon.com/song/detail.htm?songId=1125030,마음이 고와야지,1967,성인가요
80,윤복희,https://www.melon.com/song/detail.htm?songId=2335774,마음이 변하기 전에,1967,성인가요
81,이상열,https://www.melon.com/song/detail.htm?songId=3621634,먼데서 왔우다예,1967,성인가요
82,이상열,https://www.melon.com/song/detail.htm?songId=3621622,못잊어서 또왔네,1967,성인가요
83,현미,https://www.melon.com/song/detail.htm?songId=176427,몽땅 내사랑,1967,성인가요
84,진송남,https://www.melon.com/song/detail.htm?songId=1003822,바보처럼 울었다,1967,성인가요
85,최희준,https://www.melon.com/song/detail.htm?songId=1185250,빛과 그림자,1967,성인가요
86,태원,https://www.melon.com/song/detail.htm?songId=4054785,사랑아 내 사랑아,1967,성인가요
87,봉봉사중창단,https://www.melon.com/song/detail.htm?songId=4588274,사랑을 하면 예뻐져요,1967,성인가요
88,차중락,https://www.melon.com/song/detail.htm?songId=1185312,사랑의 종말,1967,성인가요
89,패티김,https://www.melon.com/song/detail.htm?songId=65137,사월이 가면,1967,성인가요
90,여운,https://www.melon.com/song/detail.htm?songId=730605,삼일로,1967,성인가요
91,김세레나,https://www.melon.com/song/detail.htm?songId=167743,새타령,1967,성인가요
92,이미자,https://www.melon.com/song/detail.htm?songId=2068575,섬마을 선생님,1967,성인가요
93,정훈희,https://www.melon.com/song/detail.htm?songId=1632354,안개,1967,발라드
94,배호,https://www.melon.com/song/detail.htm?songId=1589359,안개낀 장충단공원,1967,성인가요
95,현미,https://www.melon.com/song/detail.htm?songId=1185110,애인,1967,성인가요
96,금호동,https://www.melon.com/song/detail.htm?songId=3486216,야간 졸업반,1967,성인가요
97,이미자,https://www.melon.com/song/detail.htm?songId=48736,엘레지의 여왕,1967,성인가요
98,남진,https://www.melon.com/song/detail.htm?songId=1124998,우수,1967,성인가요
99,남진,https://www.melon.com/song/detail.htm?songId=1077277,울려고 내가 왔나,1967,성인가요
100,김상희,https://www.melon.com/song/detail.htm?songId=1661562,울산큰애기,1967,성인가요
101,윤복희,https://www.melon.com/song/detail.htm?songId=2335775,웃는 얼굴 다정해도,1967,성인가요
102,이미자,https://www.melon.com/song/detail.htm?songId=2068585,유달산아 말해다오,1967,성인가요
103,봉봉사중창단,https://www.melon.com/song/detail.htm?songId=176439,육군 김일병,1967,성인가요
104,이미자,https://www.melon.com/song/detail.htm?songId=48721,임금님의 첫사랑,1967,성인가요
105,성재희,https://www.melon.com/song/detail.htm?songId=3621729,찻집의 부르스,1967,성인가요
106,부르벨즈,https://www.melon.com/song/detail.htm?songId=3005476,총각 증명서,1967,성인가요
107,최희준,https://www.melon.com/song/detail.htm?songId=1185257,팔도강산,1967,성인가요
108,패티김,https://www.melon.com/song/detail.htm?songId=1125994,하와이 연정,1967,성인가요
109,이미자,https://www.melon.com/song/detail.htm?songId=48725,흑산도 아가씨,1967,성인가요
110,패티김,https://www.melon.com/song/detail.htm?songId=1125963,9월의 노래,1968,성인가요
111,태원,https://www.melon.com/song/detail.htm?songId=3620925,가을의 연인,1968,성인가요
112,강소희,https://www.melon.com/song/detail.htm?songId=3622621,가지를 마오,1968,성인가요
113,정훈희,https://www.melon.com/song/detail.htm?songId=50942,강건너 등불,1968,"발라드, 성인가요"
114,여운,https://www.melon.com/song/detail.htm?songId=730613,과거는 흘러갔다,1968,성인가요
115,이미자,https://www.melon.com/song/detail.htm?songId=48727,그리움은 가슴마다,1968,성인가요
116,봉봉사중창단,https://www.melon.com/song/detail.htm?songId=992916,꽃집 아가씨,1968,성인가요
117,박지연,https://www.melon.com/song/detail.htm?songId=4174614,꿀밤 삼백석,1968,성인가요
118,차중락,https://www.melon.com/song/detail.htm?songId=1185306,낙엽따라 가버린 사랑,1968,성인가요
119,이규항,https://www.melon.com/song/detail.htm?songId=992925,네잎 크로바,1968,성인가요
120,신행일,https://www.melon.com/song/detail.htm?songId=991753,능금빛 순정,1968,성인가요
121,김상희,https://www.melon.com/song/detail.htm?songId=45848,단벌신사,1968,성인가요
122,조영남,https://www.melon.com/song/detail.htm?songId=1003933,딜라일라,1968,성인가요
123,은방울 자매,https://www.melon.com/song/detail.htm?songId=1125436,마포 종점,1968,성인가요
124,금호동,https://www.melon.com/song/detail.htm?songId=3005812,멀어져 간 사랑,1968,성인가요
125,정원,https://www.melon.com/song/detail.htm?songId=1749953,무작정 걷고싶어,1968,성인가요
126,최희준,https://www.melon.com/song/detail.htm?songId=1925268,별빛속의 Love Letter,1968,성인가요
127,남진,https://www.melon.com/song/detail.htm?songId=1124975,별아 내가슴에,1968,성인가요
128,이미자,https://www.melon.com/song/detail.htm?songId=48732,사랑했는데,1968,성인가요
129,이미자,https://www.melon.com/song/detail.htm?songId=3675491,산팔자 물팔자,1968,성인가요
130,이미자,https://www.melon.com/song/detail.htm?songId=48709,서울이여 안녕,1968,성인가요
131,이미자,https://www.melon.com/song/detail.htm?songId=48739,아네모네,1968,성인가요
132,이영숙,https://www.melon.com/song/detail.htm?songId=46264,아카시아 이별,1968,"발라드, 성인가요"
133,이미자,https://www.melon.com/song/detail.htm?songId=48719,여자의 일생,1968,성인가요
134,김세레나,https://www.melon.com/song/detail.htm?songId=167747,짚세기 신고 왔네,1968,성인가요
135,최정자,https://www.melon.com/song/detail.htm?songId=65537,처녀 농군,1968,성인가요
136,이미자,https://www.melon.com/song/detail.htm?songId=48713,첫눈 내린 거리,1968,성인가요
137,김상희,https://www.melon.com/song/detail.htm?songId=45845,코스모스 피어있는 길,1968,성인가요
138,이미자,https://www.melon.com/song/detail.htm?songId=48724,황혼의 부르스,1968,성인가요
139,이영숙,https://www.melon.com/song/detail.htm?songId=46263,가을이 오기전에,1969,성인가요
140,나훈아,https://www.melon.com/song/detail.htm?songId=1124692,강촌에 살고싶네,1969,성인가요
141,이영숙,https://www.melon.com/song/detail.htm?songId=46261,그림자,1969,성인가요
142,키보이스,https://www.melon.com/song/detail.htm?songId=4024091,그 사람,1969,성인가요
143,김하정,https://www.melon.com/song/detail.htm?songId=605709,금산아가씨,1969,성인가요
144,나훈아,https://www.melon.com/song/detail.htm?songId=1124641,긴 세월,1969,성인가요
145,김세레나,https://www.melon.com/song/detail.htm?songId=179100,꽃타령,1969,"국악, 국악가요"
146,나훈아,https://www.melon.com/song/detail.htm?songId=1124854,님 그리워,1969,성인가요
147,펄 시스터즈,https://www.melon.com/song/detail.htm?songId=86877,님아,1969,R&B/Soul
148,신행일,https://www.melon.com/song/detail.htm?songId=991749,당신,1969,성인가요
149,박건,https://www.melon.com/song/detail.htm?songId=3592974,두글자,1969,성인가요
150,펄 시스터즈,https://www.melon.com/song/detail.htm?songId=47701,떠나야할 그 사람,1969,R&B/Soul
151,남진,https://www.melon.com/song/detail.htm?songId=1124945,미워도 다시 한번,1969,성인가요
152,이영숙,https://www.melon.com/song/detail.htm?songId=2531477,미워하지 마세요,1969,성인가요
153,유주용,https://www.melon.com/song/detail.htm?songId=992929,부모,1969,성인가요
154,펄 시스터즈,https://www.melon.com/song/detail.htm?songId=3005842,빗속의 여인,1969,성인가요
155,김상희,https://www.melon.com/song/detail.htm?songId=1661558,빨간 선인장,1969,성인가요
156,배성,https://www.melon.com/song/detail.htm?songId=3592993,사나이부르스,1969,성인가요
157,남진,https://www.melon.com/song/detail.htm?songId=1077285,사람나고 돈났지,1969,성인가요
158,박건,https://www.melon.com/song/detail.htm?songId=64066,사랑은 계절따라,1969,성인가요
159,나훈아,https://www.melon.com/song/detail.htm?songId=1124702,사랑은 눈물의 씨앗,1969,성인가요
160,유지성,https://www.melon.com/song/detail.htm?songId=1541503,사랑의 역사,1969,성인가요
161,패티김,https://www.melon.com/song/detail.htm?songId=528046,사랑하는 마리아,1969,발라드
162,패티김,https://www.melon.com/song/detail.htm?songId=1125993,서울의 찬가,1969,성인가요
163,정은숙,https://www.melon.com/song/detail.htm?songId=193896,석류의 계절,1969,성인가요
164,김세레나,https://www.melon.com/song/detail.htm?songId=179095,성주풀이,1969,"국악, 국악가요"
165,현미,https://www.melon.com/song/detail.htm?songId=3005879,세,1969,성인가요
166,한상일,https://www.melon.com/song/detail.htm?songId=440806,웨딩 드레스,1969,성인가요
167,강소희,https://www.melon.com/song/detail.htm?songId=3622627,잊을 수만 있다면,1969,성인가요
168,문주란,https://www.melon.com/song/detail.htm?songId=992960,주란꽃,1969,성인가요
169,최희준,https://www.melon.com/song/detail.htm?songId=4488345,짧은 머리 짧은 치마,1969,성인가요
170,나훈아,https://www.melon.com/song/detail.htm?songId=452902,천리길,1969,성인가요
171,유주용,https://www.melon.com/song/detail.htm?songId=1930249,추억의 소렌자라,1969,성인가요
172,펄 시스터즈,https://www.melon.com/song/detail.htm?songId=47700,커피 한 잔,1969,R&B/Soul
173,트윈 폴리오,https://www.melon.com/song/detail.htm?songId=175400,하얀 손수건,1969,포크/블루스
174,이미자,https://www.melon.com/song/detail.htm?songId=48738,한번 준 마음인데,1969,성인가요
175,남정희,https://www.melon.com/song/detail.htm?songId=3773396,가는 정 오는 정,1970,성인가요
176,정훈희,https://www.melon.com/song/detail.htm?songId=54300,그사람 바보야,1970,성인가요
177,나훈아,https://www.melon.com/song/detail.htm?songId=1621391,그정 못잊어,1970,성인가요
178,이상열,https://www.melon.com/song/detail.htm?songId=3621631,난이야,1970,성인가요
179,김추자,https://www.melon.com/song/detail.htm?songId=2749570,늦기전에,1970,록/메탈
180,김부자,https://www.melon.com/song/detail.htm?songId=1004591,당신은 철새,1970,성인가요
181,패티김,https://www.melon.com/song/detail.htm?songId=1768347,람디담디담,1970,성인가요
182,배성,https://www.melon.com/song/detail.htm?songId=4057384,망향,1970,성인가요
183,배성,https://www.melon.com/song/detail.htm?songId=3592995,무정한여인,1970,성인가요
184,나훈아,https://www.melon.com/song/detail.htm?songId=452881,바보같은 사나이,1970,성인가요
