,Artist,Link,Title,Year,Genre
0,장욱조,https://www.melon.com/song/detail.htm?songId=1086818,고목나무,1976,성인가요
1,이영식,https://www.melon.com/song/detail.htm?songId=3620478,그누가 모르나,1976,성인가요
2,권태수,https://www.melon.com/song/detail.htm?songId=995801,그 소녀,1976,성인가요
3,송창식,https://www.melon.com/song/detail.htm?songId=539552,그대 있음에,1976,포크/블루스
4,이필원,https://www.melon.com/song/detail.htm?songId=54319,그리운 사람은,1976,포크/블루스
5,박인희,https://www.melon.com/song/detail.htm?songId=48212,끝이 없는 길,1976,포크/블루스
6,Trippers,https://www.melon.com/song/detail.htm?songId=3007043,나를 두고 아리랑,1976,성인가요
7,권태수,https://www.melon.com/song/detail.htm?songId=995797,눈으로,1976,성인가요
8,버들피리,https://www.melon.com/song/detail.htm?songId=1009254,눈이 큰 아이,1976,성인가요
9,혜은이,https://www.melon.com/song/detail.htm?songId=1574110,당신은 모르실거야,1976,성인가요
10,산이슬,https://www.melon.com/song/detail.htm?songId=997829,두마음,1976,포크/블루스
11,송창식,https://www.melon.com/song/detail.htm?songId=31618215,둘일 때는 좋았지,1976,포크/블루스
12,정종숙,https://www.melon.com/song/detail.htm?songId=1004251,둘이 걸었네,1976,포크/블루스
13,박상규,https://www.melon.com/song/detail.htm?songId=1623845,둘이서,1976,발라드
14,김훈,https://www.melon.com/song/detail.htm?songId=31639377,모래탑,1976,성인가요
15,이승연,https://www.melon.com/song/detail.htm?songId=1930184,비에 젖은 비둘기,1976,성인가요
16,채은옥,https://www.melon.com/song/detail.htm?songId=53824,빗물,1976,발라드
17,투에이스,https://www.melon.com/song/detail.htm?songId=3007047,빗속을 둘이서,1976,성인가요
18,투에이스,https://www.melon.com/song/detail.htm?songId=3007049,사랑을 미워해,1976,성인가요
19,정종숙,https://www.melon.com/song/detail.htm?songId=49511,새끼 손가락,1976,발라드
20,이정선,https://www.melon.com/song/detail.htm?songId=1080162,섬소년,1976,포크/블루스
21,Trippers,https://www.melon.com/song/detail.htm?songId=3007045,세월만 가네,1976,성인가요
22,김세환,https://www.melon.com/song/detail.htm?songId=3998010,슬픈 노래는 싫어요,1976,포크/블루스
23,유승엽,https://www.melon.com/song/detail.htm?songId=176447,슬픈 노래는 싫어요,1976,발라드
24,임성훈,https://www.melon.com/song/detail.htm?songId=1080460,시골길,1976,발라드
25,하수영,https://www.melon.com/song/detail.htm?songId=111432,아내에게 바치는 노래,1976,성인가요
26,이은하,https://www.melon.com/song/detail.htm?songId=1549892,아직도 그대는 내사랑,1976,발라드
27,전영록,https://www.melon.com/song/detail.htm?songId=80751,애심,1976,"발라드, 성인가요"
28,박지영,https://www.melon.com/song/detail.htm?songId=1548840,이 다음에 우리는,1976,포크/블루스
29,김훈,https://www.melon.com/song/detail.htm?songId=3007061,이렇게 당신생각에,1976,성인가요
30,송창식,https://www.melon.com/song/detail.htm?songId=180854,이,1976,발라드
