,Artist,Link,Title,Year,Genre
0,이광조,https://www.melon.com/song/detail.htm?songId=1138841,가까이 하기엔 너무 먼 당신,1986,발라드
1,이문세,https://www.melon.com/song/detail.htm?songId=48562,난 아직 모르잖아요,1986,발라드
2,구창모,https://www.melon.com/song/detail.htm?songId=2467994,아픈만큼 성숙해지고,1986,록/메탈
3,조용필,https://www.melon.com/song/detail.htm?songId=81122,허공,1986,성인가요
4,김완선,https://www.melon.com/song/detail.htm?songId=1104576,지난이야기 (Remake),1986,댄스
5,정수라,https://www.melon.com/song/detail.htm?songId=175164,난 너에게,1986,발라드
6,홍수철,https://www.melon.com/song/detail.htm?songId=7889312,철없던 사랑,1986,성인가요
7,높은음자리,https://www.melon.com/song/detail.htm?songId=70828,나 그리고 별,1986,발라드
8,민해경,https://www.melon.com/song/detail.htm?songId=1878134,사랑은 이제 그만,1986,발라드
9,이선희,https://www.melon.com/song/detail.htm?songId=48362,갈바람,1986,발라드
10,최진희,https://www.melon.com/song/detail.htm?songId=60162,우린 너무 쉽게 헤어졌어요,1986,성인가요
11,다섯손가락,https://www.melon.com/song/detail.htm?songId=1573429,새벽기차,1986,발라드
12,전영록,https://www.melon.com/song/detail.htm?songId=1032963,그대 우나봐,1986,발라드
13,높은음자리,https://www.melon.com/song/detail.htm?songId=70840,바다에 누워,1986,발라드
14,해바라기,https://www.melon.com/song/detail.htm?songId=2036561,사랑은 언제나 그 자리에,1986,포크/블루스
15,명혜원,https://www.melon.com/song/detail.htm?songId=175171,청량리 부르스,1986,발라드
16,최성수,https://www.melon.com/song/detail.htm?songId=1185199,남남,1986,발라드
17,남궁옥분,https://www.melon.com/song/detail.htm?songId=1052222,재회,1986,포크/블루스
18,들국화,https://www.melon.com/song/detail.htm?songId=1839485,그것만이 내세,1986,록/메탈
19,이광조,https://www.melon.com/song/detail.htm?songId=1091184,사랑을 잃어버린 나,1986,발라드
20,김범룡,https://www.melon.com/song/detail.htm?songId=1028300,그대는 미운사람,1986,댄스
