,Title,Artist,Year,Link,Genre
0,달팽이,패닉,1996,https://www.melon.com/song/detail.htm?songId=33189,록/메탈
1,내가 만일,안치환,1996,https://www.melon.com/song/detail.htm?songId=1719746,포크/블루스
2,널 사랑하겠어,동물원,1996,https://www.melon.com/song/detail.htm?songId=33206,"발라드, 포크/블루스"
3,모래성,조관우,1996,https://www.melon.com/song/detail.htm?songId=64565,발라드
4,영원히 내게,안상수,1996,https://www.melon.com/song/detail.htm?songId=64025,발라드
5,아주 가끔은,신해철,1996,https://www.melon.com/song/detail.htm?songId=106885,국내영화
6,귀천도애 (歸天道哀),김민종,1996,https://www.melon.com/song/detail.htm?songId=68743,발라드
7,정 (위험한 이별),영턱스클럽,1996,https://www.melon.com/song/detail.htm?songId=983247,댄스
8,환생,윤종신,1996,https://www.melon.com/song/detail.htm?songId=67691,발라드
9,꿍따리 샤바라,클론,1996,https://www.melon.com/song/detail.htm?songId=70896,댄스
10,잊을수 없는 너,최재훈,1996,https://www.melon.com/song/detail.htm?songId=67561,발라드
11,넌 나의 처음이자 마지막이야!,솔리드,1996,https://www.melon.com/song/detail.htm?songId=70600,R&B/Soul
12,스피드,김건모,1996,https://www.melon.com/song/detail.htm?songId=38445,댄스
13,여름이야기 (Sky Mix),DJ DOC,1996,https://www.melon.com/song/detail.htm?songId=33089,"댄스, 랩/힙합"
14,여우야(女雨夜),더 클래식,1996,https://www.melon.com/song/detail.htm?songId=66954,발라드
15,완전한 사랑,장혜진,1996,https://www.melon.com/song/detail.htm?songId=69620,발라드
16,지금 이대로,US,1996,https://www.melon.com/song/detail.htm?songId=2961489,댄스
17,준비 없는 이별,녹색지대,1996,https://www.melon.com/song/detail.htm?songId=1622512,발라드
18,말하자면,김성재,1996,https://www.melon.com/song/detail.htm?songId=1675592,"댄스, 랩/힙합"
19,내 눈물 모아,서지원,1996,https://www.melon.com/song/detail.htm?songId=1876466,발라드
20,애인(愛人),김정민,1996,https://www.melon.com/song/detail.htm?songId=38585,발라드
21,님은 먼곳에,조관우,1996,https://www.melon.com/song/detail.htm?songId=64561,발라드
22,Aspirin (아스피린) (12 String Guitar Ver.),걸,1996,https://www.melon.com/song/detail.htm?songId=38083,록/메탈
23,작은 기다림,쿨 (COOL),1996,https://www.melon.com/song/detail.htm?songId=66964,댄스
24,이방인(異邦人),전람회,1996,https://www.melon.com/song/detail.htm?songId=70679,발라드
25,하늘만 허락한 사랑,엄정화,1996,https://www.melon.com/song/detail.htm?songId=69374,발라드
26,슬픈 언약식,김정민,1996,https://www.melon.com/song/detail.htm?songId=38651,발라드
27,후회 없는 사랑,포지션,1996,https://www.melon.com/song/detail.htm?songId=70486,발라드
28,7년간의 사랑,화이트,1996,https://www.melon.com/song/detail.htm?songId=1761801,발라드
29,겨울이야기,DJ DOC,1996,https://www.melon.com/song/detail.htm?songId=1185237,댄스
30,취중진담(醉中眞談),전람회,1996,https://www.melon.com/song/detail.htm?songId=70696,발라드
31,3!4!,룰라,1996,https://www.melon.com/song/detail.htm?songId=70994,댄스
32,Twist King,터보,1996,https://www.melon.com/song/detail.htm?songId=1606430,댄스
33,우리의 밤은 당신의 낮보다 아름답다,코나,1996,https://www.melon.com/song/detail.htm?songId=70631,발라드
34,내가 지켜줄께,녹색지대,1996,https://www.melon.com/song/detail.htm?songId=1622515,발라드
35,그대 내품에,박정운,1996,https://www.melon.com/song/detail.htm?songId=55272,발라드
