,Artist,Link,Title,Year,Genre
0,브라운 아이즈,https://www.melon.com/song/detail.htm?songId=19807,벌써 일년,2001,R&B/Soul
1,포지션,https://www.melon.com/song/detail.htm?songId=89806,I Love You,2001,발라드
2,김건모,https://www.melon.com/song/detail.htm?songId=19091,미안해요,2001,발라드
3,이기찬,https://www.melon.com/song/detail.htm?songId=32574,또 한번 사랑은 가고,2001,발라드
4,왁스,https://www.melon.com/song/detail.htm?songId=26378,화장을 고치고,2001,발라드
5,박효신,https://www.melon.com/song/detail.htm?songId=10838,먼곳에서,2001,발라드
6,핑클 (Fin.K.L),https://www.melon.com/song/detail.htm?songId=7712,당신은 모르실거야 (CF - LIG 핑클편),2001,발라드
7,god,https://www.melon.com/song/detail.htm?songId=104788,길,2001,발라드
8,김동률,https://www.melon.com/song/detail.htm?songId=111209,다시 사랑한다 말할까,2001,발라드
9,양파,https://www.melon.com/song/detail.htm?songId=1213165,Special Night,2001,발라드
10,이소라,https://www.melon.com/song/detail.htm?songId=9040,제발,2001,발라드
11,조규찬,https://www.melon.com/song/detail.htm?songId=104759,Baby Baby,2001,발라드
12,성시경,https://www.melon.com/song/detail.htm?songId=8302,내게 오는 길,2001,발라드
13,토이,https://www.melon.com/song/detail.htm?songId=18357,좋은 사람 (Feat. 김형중),2001,발라드
14,김범수,https://www.melon.com/song/detail.htm?songId=10398,하루,2001,발라드
15,임재범,https://www.melon.com/song/detail.htm?songId=609766,사진속에 담긴 추억,2001,"발라드, 록/메탈"
16,YB,https://www.melon.com/song/detail.htm?songId=1096487,내게 와 줘,2001,록/메탈
17,윤미래,https://www.melon.com/song/detail.htm?songId=105886,시간이 흐른 뒤 (As Time Goes By),2001,R&B/Soul
18,최재훈,https://www.melon.com/song/detail.htm?songId=8305,편지 (Original Ver.),2001,발라드
19,드렁큰 타이거,https://www.melon.com/song/detail.htm?songId=33026,Good Life,2001,랩/힙합
20,박상민,https://www.melon.com/song/detail.htm?songId=78002,하나의 사랑,2001,발라드
21,해이,https://www.melon.com/song/detail.htm?songId=8274,Je T`aime,2001,발라드
22,애즈원,https://www.melon.com/song/detail.htm?songId=91166,천만에요,2001,R&B/Soul
23,임창정,https://www.melon.com/song/detail.htm?songId=25594,기다리는 이유,2001,발라드
24,김현정,https://www.melon.com/song/detail.htm?songId=25629,떠난 너,2001,댄스
25,임재범,https://www.melon.com/song/detail.htm?songId=3680,너를 위해,2001,발라드
26,지누션,https://www.melon.com/song/detail.htm?songId=90105,A-Yo,2001,랩/힙합
27,김건모,https://www.melon.com/song/detail.htm?songId=19094,Double,2001,댄스
28,쿨 (COOL),https://www.melon.com/song/detail.htm?songId=24105,Jumpo Mambo,2001,댄스
29,크라잉넛 (CRYING NUT),https://www.melon.com/song/detail.htm?songId=21360,밤이 깊었네,2001,"인디음악, 록/메탈"
30,화요비,https://www.melon.com/song/detail.htm?songId=37271,눈물,2001,R&B/Soul
31,이승철,https://www.melon.com/song/detail.htm?songId=19175,고백,2001,댄스
32,성시경,https://www.melon.com/song/detail.htm?songId=8293,미소천사,2001,댄스
