,Artist,Link,Title,Year,Genre
0,SG 워너비,https://www.melon.com/song/detail.htm?songId=1139741,내사람 : Partner For Life,2006,R&B/Soul
1,백지영,https://www.melon.com/song/detail.htm?songId=1135163,사랑안해,2006,발라드
2,씨야,https://www.melon.com/song/detail.htm?songId=1114170,여인의 향기,2006,발라드
3,버즈,https://www.melon.com/song/detail.htm?songId=1177475,남자를 몰라,2006,록/메탈
4,gavy nj project group [H7美人(미인)],https://www.melon.com/song/detail.htm?songId=1213524,LOVE ALL,2006,발라드
5,조pd (ZoPD),https://www.melon.com/song/detail.htm?songId=1204915,Hold The Line,2006,랩/힙합
6,이루,https://www.melon.com/song/detail.htm?songId=1459449,까만안경 (Feat. Day Light),2006,발라드
7,바이브,https://www.melon.com/song/detail.htm?songId=1114175,그 남자 그 여자 (Feat. 장혜진),2006,발라드
8,이승기,https://www.melon.com/song/detail.htm?songId=1099594,하기 힘든 말,2006,발라드
9,성시경,https://www.melon.com/song/detail.htm?songId=1467722,거리에서,2006,발라드
10,하동균,https://www.melon.com/song/detail.htm?songId=1264830,그녀를 사랑해줘요,2006,발라드
11,SG 워너비,https://www.melon.com/song/detail.htm?songId=1139742,사랑했어요 (Feat. 데니안),2006,R&B/Soul
12,씨야,https://www.melon.com/song/detail.htm?songId=1119896,사랑하기 때문에 (Feat. SG워너비),2006,발라드
13,임정희,https://www.melon.com/song/detail.htm?songId=1130736,사랑아 가지마,2006,R&B/Soul
14,장혜진,https://www.melon.com/song/detail.htm?songId=1099478,마주치지 말자,2006,발라드
15,MC몽,https://www.melon.com/song/detail.htm?songId=1454808,아이스크림,2006,랩/힙합
16,김종국,https://www.melon.com/song/detail.htm?songId=1144020,편지,2006,발라드
17,버즈,https://www.melon.com/song/detail.htm?songId=1177471,My Love (And),2006,록/메탈
18,노을,https://www.melon.com/song/detail.htm?songId=1108584,전부 너였다,2006,발라드
19,거북이,https://www.melon.com/song/detail.htm?songId=1325050,비행기,2006,댄스
20,손호영,https://www.melon.com/song/detail.htm?songId=1417550,운다,2006,발라드
21,장리인 (Zhang Li Yin),https://www.melon.com/song/detail.htm?songId=1374075,Timeless (Feat. 시아준수),2006,발라드
22,이승철,https://www.melon.com/song/detail.htm?songId=1456717,소리쳐,2006,발라드
23,버즈,https://www.melon.com/song/detail.htm?songId=1177470,My Darling (End),2006,록/메탈
24,장혜진,https://www.melon.com/song/detail.htm?songId=1264220,불꽃 (Feat. 개리),2006,발라드
25,씨야,https://www.melon.com/song/detail.htm?songId=1314788,미친 사랑의 노래,2006,"발라드, 국내드라마"
26,별,https://www.melon.com/song/detail.htm?songId=1193994,눈물샘,2006,발라드
27,김종국,https://www.melon.com/song/detail.htm?songId=1497527,바람만바람만,2006,발라드
28,오종혁,https://www.melon.com/song/detail.htm?songId=1379738,죽을만큼..,2006,발라드
29,엠씨더맥스 (M.C the MAX),https://www.melon.com/song/detail.htm?songId=1356054,사랑을 찾아서,2006,발라드
30,이승기,https://www.melon.com/song/detail.htm?songId=1416892,제발,2006,발라드
31,업타운,https://www.melon.com/song/detail.htm?songId=1199786,My Style,2006,랩/힙합
32,현영,https://www.melon.com/song/detail.htm?songId=1121540,누나의 꿈,2006,댄스
33,브라운아이드걸스,https://www.melon.com/song/detail.htm?songId=1115206,다가와서,2006,R&B/Soul
34,싸이 (PSY),https://www.melon.com/song/detail.htm?songId=1322134,연예인,2006,댄스
35,SG 워너비,https://www.melon.com/song/detail.htm?songId=1141600,폭풍,2006,R&B/Soul
36,럼블피쉬,https://www.melon.com/song/detail.htm?songId=1216149,I Go,2006,록/메탈
37,버즈,https://www.melon.com/song/detail.htm?songId=1177472,은인,2006,록/메탈
38,서영은,https://www.melon.com/song/detail.htm?songId=1122105,웃는거야,2006,발라드
39,가비엔제이,https://www.melon.com/song/detail.htm?songId=985472,Happiness,2006,R&B/Soul
40,제아,https://www.melon.com/song/detail.htm?songId=1415517,The Day,2006,발라드
41,SUPER JUNIOR (슈퍼주니어),https://www.melon.com/song/detail.htm?songId=1210836,U,2006,댄스
42,가비엔제이,https://www.melon.com/song/detail.htm?songId=1075411,눈사람,2006,R&B/Soul
43,KCM,https://www.melon.com/song/detail.htm?songId=1099824,태양의 눈물 (Tear Of The Sun),2006,발라드
44,Big4,https://www.melon.com/song/detail.htm?songId=1029603,Untouchable,2006,R&B/Soul
45,버블 시스터즈,https://www.melon.com/song/detail.htm?songId=1097091,사랑 먼지,2006,R&B/Soul
46,가비엔제이,https://www.melon.com/song/detail.htm?songId=1484802,그녀가 울고있네요,2006,R&B/Soul
47,SG 워너비,https://www.melon.com/song/detail.htm?songId=1145943,느림보,2006,R&B/Soul
48,거미,https://www.melon.com/song/detail.htm?songId=1177606,그대 돌아오면..,2006,R&B/Soul
49,V.One,https://www.melon.com/song/detail.htm?songId=1086029,면도,2006,발라드
50,홍경민,https://www.melon.com/song/detail.htm?songId=1456656,"사랑, 참...",2006,발라드
51,씨야,https://www.melon.com/song/detail.htm?songId=1114171,구두,2006,발라드
52,정재욱,https://www.melon.com/song/detail.htm?songId=1204838,들리나요,2006,발라드
53,이수영,https://www.melon.com/song/detail.htm?songId=1094161,Grace,2006,발라드
54,토니 안,https://www.melon.com/song/detail.htm?songId=1173448,유추프라카치아,2006,발라드
55,이승기,https://www.melon.com/song/detail.htm?songId=1416893,원하고 원망하죠,2006,발라드
56,먼데이 키즈 (Monday Kiz),https://www.melon.com/song/detail.htm?songId=993956,Bye Bye Bye,2006,발라드
57,플라이 투 더 스카이,https://www.melon.com/song/detail.htm?songId=1068643,남자답게,2006,R&B/Soul
58,김종국,https://www.melon.com/song/detail.htm?songId=1144018,사랑한다는 말,2006,발라드
59,SE7EN,https://www.melon.com/song/detail.htm?songId=1484165,라 라 라,2006,발라드
60,하울,https://www.melon.com/song/detail.htm?songId=1093692,Perhaps Love (사랑인가요),2006,"발라드, 국내드라마"
61,SG 워너비,https://www.melon.com/song/detail.htm?songId=1489805,Must Have Love,2006,R&B/Soul
62,버즈,https://www.melon.com/song/detail.htm?songId=1466870,울지마,2006,록/메탈
63,린,https://www.melon.com/song/detail.htm?songId=1125392,날 위한 이별,2006,발라드
64,이승철,https://www.melon.com/song/detail.htm?songId=1266152,떠나지마,2006,발라드
65,이승기,https://www.melon.com/song/detail.htm?songId=1099596,입모양,2006,발라드
66,신화,https://www.melon.com/song/detail.htm?songId=1194316,Once In A Lifetime,2006,발라드
67,환희,https://www.melon.com/song/detail.htm?songId=1288622,Tomorrow,2006,"발라드, 국내드라마"
68,이효리,https://www.melon.com/song/detail.htm?songId=1108723,Get Ya`,2006,댄스
69,메이비 (Maybee),https://www.melon.com/song/detail.htm?songId=1145088,다소,2006,발라드
70,김태우,https://www.melon.com/song/detail.htm?songId=1479631,하고싶은 말,2006,발라드
71,리사,https://www.melon.com/song/detail.htm?songId=1205568,헤어져야 사랑을 알죠,2006,발라드
72,MC몽,https://www.melon.com/song/detail.htm?songId=1454809,너에게 쓰는 편지 Part 2 (Feat. LISA),2006,랩/힙합
73,이재훈 (쿨),https://www.melon.com/song/detail.htm?songId=1173404,아름다운 이별 Ⅱ (PSY Ver.),2006,발라드
74,코요태,https://www.melon.com/song/detail.htm?songId=1423302,I Love Rock & Roll,2006,댄스
75,버즈,https://www.melon.com/song/detail.htm?songId=1008495,사랑은 가슴이 시킨다,2006,록/메탈
76,비,https://www.melon.com/song/detail.htm?songId=1472024,I`m Coming (Feat. Tablo),2006,댄스
77,정재욱,https://www.melon.com/song/detail.htm?songId=1033126,가만히 눈을 감고 (CF - 교토 다원녹차),2006,발라드
78,더 네임,https://www.melon.com/song/detail.htm?songId=1472307,사랑은,2006,"발라드, R&B/Soul"
79,아유미,https://www.melon.com/song/detail.htm?songId=1288745,Cutie Honey,2006,댄스
80,J.Lee,https://www.melon.com/song/detail.htm?songId=1147109,열 (Feat. Tablo),2006,R&B/Soul
81,서영은,https://www.melon.com/song/detail.htm?songId=1322986,좋아 좋아,2006,발라드
82,배치기,https://www.melon.com/song/detail.htm?songId=1414764,마이동풍,2006,랩/힙합
83,손호영,https://www.melon.com/song/detail.htm?songId=1491337,사랑은 이별을 데리고 오다 (New Ver.),2006,발라드
84,가비엔제이,https://www.melon.com/song/detail.htm?songId=985474,그래도 살아가겠지,2006,R&B/Soul
85,제아,https://www.melon.com/song/detail.htm?songId=1415518,정 (情),2006,발라드
86,걸 프렌즈,https://www.melon.com/song/detail.htm?songId=1315554,Maybe I Love You (Feat. 빅톤),2006,댄스
87,플라이 투 더 스카이,https://www.melon.com/song/detail.htm?songId=1088419,사랑해요 우리 (Feat. 거미),2006,R&B/Soul
88,이지혜,https://www.melon.com/song/detail.htm?songId=1313657,Love Me Love Me,2006,댄스
89,플라이 투 더 스카이,https://www.melon.com/song/detail.htm?songId=1089743,피 (避),2006,R&B/Soul
90,에픽하이 (EPIK HIGH),https://www.melon.com/song/detail.htm?songId=933378,Paris (Feat. Jisun of Loveholic),2006,랩/힙합
91,Big4,https://www.melon.com/song/detail.htm?songId=1029602,바람과 함께 사라지다,2006,R&B/Soul
92,란 (RAN),https://www.melon.com/song/detail.htm?songId=1417729,가슴이 아려와,2006,발라드
93,엠씨더맥스 (M.C the MAX),https://www.melon.com/song/detail.htm?songId=1009239,사랑은 아프려고 하는 거죠,2006,발라드
94,쿨 (COOL),https://www.melon.com/song/detail.htm?songId=1268244,오늘 하루,2006,댄스
95,신지,https://www.melon.com/song/detail.htm?songId=1266153,사랑한다는 한마디,2006,발라드
96,SE7EN,https://www.melon.com/song/detail.htm?songId=1123711,난 알아요 (Feat. Teddy),2006,R&B/Soul
97,바이브,https://www.melon.com/song/detail.htm?songId=1114174,한숨만,2006,발라드
98,스윗소로우 (SWEET SORROW),https://www.melon.com/song/detail.htm?songId=1190874,아무리 생각해도 난 너를,2006,"발라드, 국내드라마"
99,빅마마,https://www.melon.com/song/detail.htm?songId=1469335,Never Mind,2006,R&B/Soul
100,이기찬,https://www.melon.com/song/detail.htm?songId=1563237,미인 (美人),2007,발라드
101,아이비,https://www.melon.com/song/detail.htm?songId=1569650,이럴거면,2007,발라드
102,아이비,https://www.melon.com/song/detail.htm?songId=1569649,유혹의 소나타,2007,댄스
103,씨야,https://www.melon.com/song/detail.htm?songId=1558954,미워요,2007,발라드
104,더 넛츠 (The NuTs),https://www.melon.com/song/detail.htm?songId=1521180,잔소리,2007,"발라드, 록/메탈"
