,Artist,Link,Title,Year,Genre
0,티아라,https://www.melon.com/song/detail.htm?songId=3457172,Roly-Poly,2011,댄스
1,GG (박명수 & G-Dragon),https://www.melon.com/song/detail.htm?songId=3467463,바람났어 (Feat. 박봄),2011,댄스
2,2NE1,https://www.melon.com/song/detail.htm?songId=3452769,내가 제일 잘 나가,2011,댄스
3,비스트,https://www.melon.com/song/detail.htm?songId=3397448,비가 오는 날엔,2011,발라드
4,리쌍,https://www.melon.com/song/detail.htm?songId=3527235,"TV를 껐네... (Feat. t윤미래, 권정열 Of 10cm)",2011,"발라드, 랩/힙합"
5,씨스타,https://www.melon.com/song/detail.htm?songId=3521672,So Cool (쏘쿨),2011,댄스
6,2NE1,https://www.melon.com/song/detail.htm?songId=3509751,UGLY,2011,댄스
7,아이유,https://www.melon.com/song/detail.htm?songId=3051244,좋은 날,2011,댄스
8,포맨,https://www.melon.com/song/detail.htm?songId=3427926,살다가 한번쯤,2011,발라드
9,다비치,https://www.melon.com/song/detail.htm?songId=3536905,안녕이라고 말하지마,2011,발라드
10,노을,https://www.melon.com/song/detail.htm?songId=3585793,그리워 그리워,2011,발라드
11,미쓰에이,https://www.melon.com/song/detail.htm?songId=3488849,Good-bye Baby,2011,댄스
12,허각,https://www.melon.com/song/detail.htm?songId=3549031,Hello,2011,발라드
13,2PM,https://www.melon.com/song/detail.htm?songId=3448185,Hands Up,2011,댄스
14,시크릿,https://www.melon.com/song/detail.htm?songId=3424822,별빛달빛,2011,댄스
15,f(x),https://www.melon.com/song/detail.htm?songId=3440448,Hot Summer,2011,댄스
16,2NE1,https://www.melon.com/song/detail.htm?songId=3397797,Lonely,2011,발라드
17,처진 달팽이 (유재석 & 이적),https://www.melon.com/song/detail.htm?songId=3467466,압구정 날라리,2011,댄스
18,김범수,https://www.melon.com/song/detail.htm?songId=3436083,끝사랑,2011,발라드
19,원더걸스,https://www.melon.com/song/detail.htm?songId=3600223,Be My Baby,2011,댄스
20,소녀시대 (GIRLS` GENERATION),https://www.melon.com/song/detail.htm?songId=3565193,The Boys,2011,댄스
21,울랄라세션,https://www.melon.com/song/detail.htm?songId=3593455,서쪽 하늘,2011,발라드
22,버스커 버스커,https://www.melon.com/song/detail.htm?songId=3565240,동경소녀,2011,록/메탈
23,비스트,https://www.melon.com/song/detail.htm?songId=3403761,Fiction,2011,댄스
24,김범수,https://www.melon.com/song/detail.htm?songId=3337773,제발,2011,발라드
25,박봄,https://www.melon.com/song/detail.htm?songId=3373007,Don`t Cry,2011,댄스
26,시크릿,https://www.melon.com/song/detail.htm?songId=3089448,샤이보이,2011,댄스
27,현아,https://www.melon.com/song/detail.htm?songId=3468048,Bubble Pop!,2011,댄스
28,지나,https://www.melon.com/song/detail.htm?songId=3111583,Black & White,2011,댄스
29,리쌍,https://www.melon.com/song/detail.htm?songId=3534943,회,2011,랩/힙합
30,마이티 마우스,https://www.melon.com/song/detail.htm?songId=3110565,톡톡 (Tok Tok) (Feat. SOYA),2011,랩/힙합
31,2NE1,https://www.melon.com/song/detail.htm?songId=3488750,Hate You,2011,댄스
32,티아라,https://www.melon.com/song/detail.htm?songId=3607859,Cry Cry,2011,댄스
33,BIGBANG,https://www.melon.com/song/detail.htm?songId=3156950,TONIGHT,2011,댄스
34,GD&TOP,https://www.melon.com/song/detail.htm?songId=3065250,Oh Yeah (Feat. 박봄),2011,랩/힙합
35,씨스타19,https://www.melon.com/song/detail.htm?songId=3385548,Ma Boy (마보이),2011,댄스
36,아이유,https://www.melon.com/song/detail.htm?songId=3143550,나만 몰랐던 이야기,2011,발라드
37,투개월,https://www.melon.com/song/detail.htm?songId=3565243,여우야,2011,발라드
38,걸스데이,https://www.melon.com/song/detail.htm?songId=3319849,반짝반짝,2011,댄스
39,브라운아이드걸스,https://www.melon.com/song/detail.htm?songId=3557196,Sixth Sense,2011,댄스
40,시크릿,https://www.melon.com/song/detail.htm?songId=3573326,사랑은 Move,2011,댄스
41,이현,https://www.melon.com/song/detail.htm?songId=3138749,내꺼중에 최고,2011,발라드
42,GD&TOP,https://www.melon.com/song/detail.htm?songId=3065249,High High,2011,랩/힙합
43,울랄라세션,https://www.melon.com/song/detail.htm?songId=3565242,달의 몰락,2011,록/메탈
44,허각,https://www.melon.com/song/detail.htm?songId=3602154,죽고 싶단 말 밖에,2011,발라드
45,이승기,https://www.melon.com/song/detail.htm?songId=3573175,연애시대 (Feat. Ra.D) (Narr. 한효주),2011,발라드
46,송지은,https://www.melon.com/song/detail.htm?songId=3164048,미친거니 (Feat. 방용국),2011,발라드
47,포맨,https://www.melon.com/song/detail.htm?songId=3590149,그 남자 그 여자,2011,발라드
48,다비치,https://www.melon.com/song/detail.htm?songId=3536906,사랑 사랑아,2011,발라드
49,카라,https://www.melon.com/song/detail.htm?songId=3538478,STEP,2011,댄스
50,버스커 버스커,https://www.melon.com/song/detail.htm?songId=3593454,막걸리나,2011,록/메탈
51,f(x),https://www.melon.com/song/detail.htm?songId=3366160,피노키오 (Danger),2011,댄스
52,CNBLUE (씨엔블루),https://www.melon.com/song/detail.htm?songId=3169779,직감,2011,록/메탈
53,정용화 (CNBLUE),https://www.melon.com/song/detail.htm?songId=3106066,처음 사랑하는 연인들을 위해 (반말송),2011,발라드
54,리쌍,https://www.melon.com/song/detail.htm?songId=3534941,나란 놈은 답은 너다 (Feat. 하림),2011,랩/힙합
55,SUPER JUNIOR (슈퍼주니어),https://www.melon.com/song/detail.htm?songId=3516563,Mr. Simple,2011,댄스
56,케이윌,https://www.melon.com/song/detail.htm?songId=3172166,가슴이 뛴다,2011,발라드
57,지나,https://www.melon.com/song/detail.htm?songId=3532821,Top Girl,2011,댄스
58,아이유,https://www.melon.com/song/detail.htm?songId=3625504,너랑 나,2011,댄스
59,이승기,https://www.melon.com/song/detail.htm?songId=3589429,친구잖아,2011,발라드
60,버벌진트,https://www.melon.com/song/detail.htm?songId=3538775,좋아보여 (Feat. 검정치마),2011,랩/힙합
61,마이티 마우스,https://www.melon.com/song/detail.htm?songId=3460102,랄랄라 (Feat. 소야),2011,댄스
62,BIGBANG,https://www.melon.com/song/detail.htm?songId=3349297,LOVE SONG,2011,댄스
63,바닷길 (길 & 바다),https://www.melon.com/song/detail.htm?songId=3467462,나만 부를 수 있는 노래,2011,발라드
64,나비,https://www.melon.com/song/detail.htm?songId=3110148,잘 된 일이야,2011,발라드
65,BIGBANG,https://www.melon.com/song/detail.htm?songId=3156953,CAFE,2011,댄스
66,에이트,https://www.melon.com/song/detail.htm?songId=3446888,그 입술을 막아본다,2011,발라드
67,씨스타,https://www.melon.com/song/detail.htm?songId=3037051,니까짓게,2011,댄스
68,파리돼지앵 (정형돈 & 정재형),https://www.melon.com/song/detail.htm?songId=3467461,순정마초,2011,발라드
69,인피니트,https://www.melon.com/song/detail.htm?songId=3488667,내꺼하자,2011,댄스
70,아이유,https://www.melon.com/song/detail.htm?songId=3450190,얼음꽃 (Feat. 김세황),2011,발라드
71,울랄라세션,https://www.melon.com/song/detail.htm?songId=3570032,Open Arms (Journey) (Feat. 크리스티나),2011,발라드
72,성시경,https://www.melon.com/song/detail.htm?songId=3550136,난 좋아,2011,발라드
73,써니힐,https://www.melon.com/song/detail.htm?songId=3422448,Midnight Circus,2011,댄스
74,브라운아이드걸스,https://www.melon.com/song/detail.htm?songId=3597417,클렌징크림,2011,발라드
75,4minute,https://www.melon.com/song/detail.htm?songId=3349210,거울아 거울아,2011,댄스
76,10CM,https://www.melon.com/song/detail.htm?songId=2793050,아메리카노,2011,"인디음악, 록/메탈"
77,지아,https://www.melon.com/song/detail.htm?songId=3561276,내가 이렇지 (Feat. 하동균),2011,발라드
78,10CM,https://www.melon.com/song/detail.htm?songId=3136472,사랑은 은하수 다방에서,2011,"인디음악, 포크/블루스"
79,휘성 (Realslow),https://www.melon.com/song/detail.htm?songId=3174148,가슴 시린 이야기 (Feat. 용준형 Of Beast),2011,발라드
80,BIGBANG,https://www.melon.com/song/detail.htm?songId=3156952,WHAT IS RIGHT,2011,댄스
81,버스커 버스커,https://www.melon.com/song/detail.htm?songId=3576486,정류장,2011,발라드
82,철싸 (노홍철 & 싸이),https://www.melon.com/song/detail.htm?songId=3467467,흔들어 주세요,2011,댄스
83,애프터스쿨,https://www.melon.com/song/detail.htm?songId=3379391,Shampoo,2011,댄스
84,김연우,https://www.melon.com/song/detail.htm?songId=3411851,나와 같다면 (김장훈),2011,발라드
85,처진 달팽이 (유재석 & 이적),https://www.melon.com/song/detail.htm?songId=3471644,말하는 대로,2011,발라드
86,윤미래,https://www.melon.com/song/detail.htm?songId=3588757,"Get It In (Feat. Tiger JK, 정인) (Korean Ver.)",2011,랩/힙합
87,동방신기 (TVXQ!),https://www.melon.com/song/detail.htm?songId=3089348,왜 (Keep Your Head Down),2011,댄스
88,리쌍,https://www.melon.com/song/detail.htm?songId=3509748,"Grand Final (Feat. 정인, MC 날유)",2011,랩/힙합
89,엠블랙,https://www.melon.com/song/detail.htm?songId=3480463,모나리자 (Mona Lisa),2011,댄스
90,버스커 버스커,https://www.melon.com/song/detail.htm?songId=3614345,서울사람들,2011,록/메탈
91,FTISLAND (FT아일랜드),https://www.melon.com/song/detail.htm?songId=3411459,Hello Hello,2011,록/메탈
92,"Homme (창민, 이현)",https://www.melon.com/song/detail.htm?songId=3485088,남자니까 웃는거야,2011,발라드
93,김보경 (NEON),https://www.melon.com/song/detail.htm?songId=3118780,하루하루,2011,발라드
94,달샤벳,https://www.melon.com/song/detail.htm?songId=3087888,Supa Dupa Diva,2011,댄스
95,레인보우,https://www.melon.com/song/detail.htm?songId=3352959,To Me (내게로..),2011,댄스
96,4minute,https://www.melon.com/song/detail.htm?songId=3339283,Heart To Heart,2011,댄스
97,오렌지 캬라멜,https://www.melon.com/song/detail.htm?songId=3570725,샹하이 로맨스 (上海之戀),2011,댄스
98,Tablo,https://www.melon.com/song/detail.htm?songId=3584075,나쁘다 (feat. 진실),2011,랩/힙합
99,F-ve Dolls,https://www.melon.com/song/detail.htm?songId=3395649,이러쿵 저러쿵,2011,댄스
100,싸이 (PSY),https://www.melon.com/song/detail.htm?songId=3853978,강남스타일,2012,랩/힙합
101,씨스타,https://www.melon.com/song/detail.htm?songId=3763493,나혼자 (Alone),2012,댄스
102,버스커 버스커,https://www.melon.com/song/detail.htm?songId=3753304,벚꽃 엔딩,2012,록/메탈
103,씨스타,https://www.melon.com/song/detail.htm?songId=3837683,Loving U (러빙유),2012,댄스
104,BIGBANG,https://www.melon.com/song/detail.htm?songId=3715676,FANTASTIC BABY,2012,댄스
105,2NE1,https://www.melon.com/song/detail.htm?songId=3847197,I Love You,2012,댄스
106,버스커 버스커,https://www.melon.com/song/detail.htm?songId=3832101,정말로 사랑한다면,2012,록/메탈
107,에일리(AILEE),https://www.melon.com/song/detail.htm?songId=3701333,Heaven,2012,발라드
108,아이유,https://www.melon.com/song/detail.htm?songId=3795586,하루 끝,2012,댄스
109,버스커 버스커,https://www.melon.com/song/detail.htm?songId=3753302,첫사랑,2012,록/메탈
110,티아라,https://www.melon.com/song/detail.htm?songId=3663978,Lovey-Dovey,2012,댄스
111,소녀시대-태티서 (Girls` Generation-TTS),https://www.melon.com/song/detail.htm?songId=3783041,Twinkle,2012,댄스
112,나얼,https://www.melon.com/song/detail.htm?songId=3910821,바람기억,2012,R&B/Soul
113,허각,https://www.melon.com/song/detail.htm?songId=3758104,나를 사랑했던 사람아,2012,발라드
114,버스커 버스커,https://www.melon.com/song/detail.htm?songId=3753303,여수 밤바다,2012,록/메탈
115,BIGBANG,https://www.melon.com/song/detail.htm?songId=3818487,MONSTER,2012,댄스
116,허각,https://www.melon.com/song/detail.htm?songId=3884575,I Need You,2012,발라드
117,BIGBANG,https://www.melon.com/song/detail.htm?songId=3715672,BLUE,2012,댄스
118,백지영,https://www.melon.com/song/detail.htm?songId=3791867,목소리 (Feat. 개리 Of 리쌍),2012,발라드
119,원더걸스,https://www.melon.com/song/detail.htm?songId=3815739,Like this,2012,댄스
