,Artist,Link,Title,Year,Genre
0,TWICE (트와이스),https://www.melon.com/song/detail.htm?songId=8158031,CHEER UP,2016,댄스
1,여자친구 (GFRIEND),https://www.melon.com/song/detail.htm?songId=8028701,시간을 달려서 (Rough),2016,댄스
2,엠씨더맥스 (M.C the MAX),https://www.melon.com/song/detail.htm?songId=8033528,어디에도,2016,발라드
3,어반자카파,https://www.melon.com/song/detail.htm?songId=8199190,널 사랑하지 않아,2016,발라드
4,다비치,https://www.melon.com/song/detail.htm?songId=8071102,이 사랑,2016,"발라드, 국내드라마"
5,한동근,https://www.melon.com/song/detail.htm?songId=5398990,이 소설의 끝을 다시 써보려 해,2016,발라드
6,지코 (ZICO),https://www.melon.com/song/detail.htm?songId=8028724,너는 나 나는 너,2016,R&B/Soul
7,거미,https://www.melon.com/song/detail.htm?songId=8089568,You Are My Everything,2016,"발라드, 국내드라마"
8,TWICE (트와이스),https://www.melon.com/song/detail.htm?songId=7891119,OOH-AHH하게,2016,댄스
9,이적,https://www.melon.com/song/detail.htm?songId=7921208,걱정말아요 그대,2016,"발라드, 국내드라마"
10,임창정,https://www.melon.com/song/detail.htm?songId=7861392,또 다시 사랑,2016,발라드
11,Crush,https://www.melon.com/song/detail.htm?songId=8026677,잊어버리지마 (Feat. 태연),2016,R&B/Soul
12,임창정,https://www.melon.com/song/detail.htm?songId=9631530,내가 저지른 사랑,2016,발라드
13,DEAN,https://www.melon.com/song/detail.htm?songId=8109412,D (half moon) (Feat. 개코),2016,R&B/Soul
14,마마무 (Mamamoo),https://www.melon.com/song/detail.htm?songId=8068881,넌 is 뭔들,2016,댄스
15,정은지,https://www.melon.com/song/detail.htm?songId=8148487,하늘바라기 (Feat. 하림),2016,발라드
16,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=9620469,우주를 줄게,2016,"인디음악, 포크/블루스"
17,지코 (ZICO),https://www.melon.com/song/detail.htm?songId=7911687,Boys And Girls (Feat. Babylon),2016,랩/힙합
18,윤미래,https://www.melon.com/song/detail.htm?songId=8053157,ALWAYS,2016,"발라드, 국내드라마"
19,여자친구 (GFRIEND),https://www.melon.com/song/detail.htm?songId=5791706,오늘부터 우리는 (Me Gustas Tu),2016,댄스
20,BewhY (비와이),https://www.melon.com/song/detail.htm?songId=8261338,Day Day (Feat. 박재범) (Prod. by GRAY),2016,랩/힙합
21,원더걸스,https://www.melon.com/song/detail.htm?songId=8254545,Why So Lonely,2016,댄스
22,헤이즈 (Heize),https://www.melon.com/song/detail.htm?songId=8143111,돌아오지마 (Feat. 용준형 Of 비스트),2016,랩/힙합
23,수지 (SUZY),https://www.melon.com/song/detail.htm?songId=8005879,Dream (Prod. by 박근태),2016,R&B/Soul
24,10CM,https://www.melon.com/song/detail.htm?songId=8124417,봄이 좋냐??,2016,"인디음악, 포크/블루스"
25,케이윌,https://www.melon.com/song/detail.htm?songId=8102386,말해! 뭐해?,2016,"발라드, 국내드라마"
26,첸 (CHEN),https://www.melon.com/song/detail.htm?songId=8067023,Everytime,2016,"발라드, 국내드라마"
27,태연 (TAEYEON),https://www.melon.com/song/detail.htm?songId=8042553,Rain,2016,발라드
28,BewhY (비와이),https://www.melon.com/song/detail.htm?songId=8252408,Forever (Prod. By GRAY),2016,랩/힙합
29,여자친구 (GFRIEND),https://www.melon.com/song/detail.htm?songId=8262125,너 그리고 나 (NAVILLERA),2016,댄스
30,이하이,https://www.melon.com/song/detail.htm?songId=8086947,한숨,2016,R&B/Soul
31,BLACKPINK,https://www.melon.com/song/detail.htm?songId=8304594,휘파람,2016,랩/힙합
32,오혁,https://www.melon.com/song/detail.htm?songId=7942948,소녀,2016,"발라드, 국내드라마"
33,한동근,https://www.melon.com/song/detail.htm?songId=9614761,그대라는 사치,2016,발라드
34,TWICE (트와이스),https://www.melon.com/song/detail.htm?songId=30054344,TT,2016,댄스
35,지코 (ZICO),https://www.melon.com/song/detail.htm?songId=7965449,유레카 (Feat. Zion.T),2016,랩/힙합
36,개리,https://www.melon.com/song/detail.htm?songId=7999021,또 하루 (Feat. 개코),2016,랩/힙합
37,어반자카파,https://www.melon.com/song/detail.htm?songId=9613173,목요일 밤 (Feat. 빈지노),2016,R&B/Soul
38,백아연,https://www.melon.com/song/detail.htm?songId=8189661,쏘쏘,2016,R&B/Soul
39,매드클라운,https://www.melon.com/song/detail.htm?songId=8100402,다시 너를,2016,"발라드, 랩/힙합, 국내드라마"
40,정승환,https://www.melon.com/song/detail.htm?songId=8203900,너였다면,2016,"발라드, 국내드라마"
41,벤,https://www.melon.com/song/detail.htm?songId=8174429,꿈처럼,2016,"발라드, 국내드라마"
42,Red Velvet (레드벨벳),https://www.melon.com/song/detail.htm?songId=9634954,러시안 룰렛 (Russian Roulette),2016,댄스
43,정준일,https://www.melon.com/song/detail.htm?songId=3620493,안아줘,2016,"인디음악, 록/메탈"
44,C JAMM,https://www.melon.com/song/detail.htm?songId=8308231,puzzle,2016,랩/힙합
45,씨스타,https://www.melon.com/song/detail.htm?songId=8236055,I Like That,2016,댄스
46,박효신,https://www.melon.com/song/detail.htm?songId=30011624,숨,2016,발라드
47,BewhY (비와이),https://www.melon.com/song/detail.htm?songId=5620266,The Time Goes On,2016,랩/힙합
48,10CM,https://www.melon.com/song/detail.htm?songId=5466962,스토커,2016,"인디음악, 포크/블루스"
49,사이먼 도미닉,https://www.melon.com/song/detail.htm?songId=8233291,니가 알던 내가 아냐 (Prod. By GRAY),2016,랩/힙합
50,케이윌,https://www.melon.com/song/detail.htm?songId=8004377,니가 하면 로맨스 (Feat. 다비치),2016,R&B/Soul
51,에일리(AILEE),https://www.melon.com/song/detail.htm?songId=9609354,If You,2016,발라드
52,에디킴,https://www.melon.com/song/detail.htm?songId=8161257,내 입술 따뜻한 커피처럼 (Feat. 이성경) (Prod. by 박근태),2016,발라드
53,블락비 (Block B),https://www.melon.com/song/detail.htm?songId=8138940,Toy,2016,R&B/Soul
54,EXO,https://www.melon.com/song/detail.htm?songId=8217164,Monster,2016,댄스
55,김나영,https://www.melon.com/song/detail.htm?songId=7998349,어땠을까,2016,발라드
56,SG 워너비,https://www.melon.com/song/detail.htm?songId=8122589,사랑하자,2016,"발라드, 국내드라마"
57,장범준,https://www.melon.com/song/detail.htm?songId=8104509,사랑에 빠졌죠 (당신만이),2016,록/메탈
58,박경,https://www.melon.com/song/detail.htm?songId=8184472,자격지심 (Feat. 은하 Of 여자친구),2016,랩/힙합
59,보이비,https://www.melon.com/song/detail.htm?songId=8252409,"호랑나비 (Feat. Gill, 리듬파워, 김흥국)",2016,랩/힙합
60,PRODUCE 101,https://www.melon.com/song/detail.htm?songId=7982920,PICK ME,2016,댄스
61,아이오아이 (I.O.I),https://www.melon.com/song/detail.htm?songId=30040810,너무너무너무,2016,댄스
62,거미,https://www.melon.com/song/detail.htm?songId=9629220,구르미 그린 달빛,2016,"발라드, 국내드라마"
63,방탄소년단,https://www.melon.com/song/detail.htm?songId=8167307,불타오르네 (FIRE),2016,댄스
64,정준영,https://www.melon.com/song/detail.htm?songId=8065398,공감 (Feat. 서영은),2016,발라드
65,볼빨간사춘기,https://www.melon.com/song/detail.htm?songId=9620473,나만 안되는 연애,2016,"인디음악, 포크/블루스"
66,AKMU (악동뮤지션),https://www.melon.com/song/detail.htm?songId=8170828,RE-BYE,2016,포크/블루스
67,러블리즈,https://www.melon.com/song/detail.htm?songId=7870472,Ah-Choo,2016,댄스
68,사이먼 도미닉,https://www.melon.com/song/detail.htm?songId=8243823,맘 편히 (Comfortable),2016,랩/힙합
69,존박,https://www.melon.com/song/detail.htm?songId=8268275,네 생각,2016,발라드
70,김필,https://www.melon.com/song/detail.htm?songId=7909196,청춘 (Feat. 김창완),2016,"포크/블루스, 국내드라마"
71,백예린,https://www.melon.com/song/detail.htm?songId=7953958,우주를 건너,2016,R&B/Soul
72,거미,https://www.melon.com/song/detail.htm?songId=418598,친구라도 될 걸 그랬어,2016,R&B/Soul
73,스탠딩 에그,https://www.melon.com/song/detail.htm?songId=8295867,여름밤에 우린,2016,"인디음악, 포크/블루스"
74,언니쓰,https://www.melon.com/song/detail.htm?songId=8250334,Shut Up (Feat. 유희열),2016,댄스
75,에릭남 (Eric Nam),https://www.melon.com/song/detail.htm?songId=8077712,봄인가 봐 (Spring Love),2016,발라드
76,소녀온탑,https://www.melon.com/song/detail.htm?songId=8104431,같은 곳에서,2016,댄스
77,마마무 (Mamamoo),https://www.melon.com/song/detail.htm?songId=8036303,I Miss You,2016,R&B/Soul
78,노을,https://www.melon.com/song/detail.htm?songId=7985298,함께,2016,"발라드, 국내드라마"
79,백예린,https://www.melon.com/song/detail.htm?songId=8233373,Bye bye my blue,2016,R&B/Soul
80,태연 (TAEYEON),https://www.melon.com/song/detail.htm?songId=7877917,I (Feat. 버벌진트),2016,발라드
81,지코 (ZICO),https://www.melon.com/song/detail.htm?songId=8028725,사랑이었다 (Feat. 루나 of f(x)),2016,발라드
82,헤이즈 (Heize),https://www.melon.com/song/detail.htm?songId=8271355,"And July (Feat. DEAN, DJ Friz)",2016,랩/힙합
83,Crush,https://www.melon.com/song/detail.htm?songId=7912749,아마도 그건,2016,R&B/Soul
84,싸이 (PSY),https://www.melon.com/song/detail.htm?songId=7956304,DADDY (Feat. CL of 2NE1),2016,댄스
