,Artist,Genre,Title,Year
0,금호동,성인가요,내일또 만납시다,1964
1,최숙자,성인가요,눈물의 연평도,1964
2,이미자,성인가요,님이라 부르리까,1964
3,이미자,성인가요,동백아가씨,1964
4,현미,성인가요,떠날때는 말없이,1964
5,백야성,성인가요,마도로스 부기,1964
6,최희준,성인가요,맨발의 청춘,1964
7,권혜경,성인가요,물새우는 해변,1964
8,박재란,성인가요,밀짚모자 목장아가씨,1964
9,현미,성인가요,보고싶은 얼굴,1964
10,Add 4,록/메탈,빗속의 여인 (1964년작),1964
11,남일해,성인가요,빨간구두 아가씨,1964
12,박재란,성인가요,소쩍새 우는 마을,1964
13,고봉산,성인가요,아메리칸 마도로스,1964
14,현미,성인가요,아빠 안녕,1964
15,오기택,성인가요,영등포의 밤,1964
16,정 시스터즈,성인가요,워싱턴광장,1964
17,남일해,성인가요,이국땅,1964
18,위키리,성인가요,저녁 한때 목장풍경,1964
19,최희준,성인가요,진고개 신사,1964
20,남일해,성인가요,첫사랑 마도로스,1964
21,최양숙,성인가요,황혼의 에레지,1964
22,조애희,성인가요,내 이름은 소녀,1965
23,곽순옥,성인가요,누가 이사람을 모르시나요 (남과북 주제가),1965
24,쟈니 브라더스,성인가요,마포사는 황부자,1965
25,남일해,성인가요,맨발로 뛰어라,1965
26,쟈니부라더스,성인가요,맹호들은 간다,1965
27,한명숙,성인가요,사랑의 송가,1965
28,박재란,성인가요,산너머 남촌에는,1965
29,박재란,성인가요,아나 농부야,1965
30,박일남,성인가요,아빠의 청춘,1965
31,이미자,성인가요,울어라 열풍아,1965
32,윤일로,성인가요,월남의 달밤,1965
33,최희준,성인가요,위를 보고 걷자,1965
34,진송남,성인가요,인정사정 볼 것 없다,1965
35,이미자,성인가요,정동 대감,1965
36,김상국,성인가요,쥐구멍에도 볕들날 있다,1965
37,박재란,성인가요,진주조개잡이,1965
38,박재란,성인가요,행복의 샘터,1965
39,이미자,성인가요,황포돛대,1965
40,오기택,성인가요,고향무정,1966
41,최희준,성인가요,길잃은 철새,1966
42,이금희,성인가요,날씬한 아가씨끼리,1966
43,이시스터즈,성인가요,남성금지구역,1966
44,위키리,성인가요,눈물을 감추고,1966
45,진송남,성인가요,덕수궁 돌담길,1966
46,남상규,성인가요,동백꽃 피는 고향,1966
47,문주란,발라드,동숙의 노래,1966
48,쟈니리,성인가요,뜨거운 안녕,1966
49,조애희,성인가요,말띠 신부,1966
50,이시스터즈,성인가요,목석같은 사나이,1966
51,정원,성인가요,미워하지 않으리,1966
52,김상국,성인가요,불나비,1966
53,위키리,성인가요,사랑합시다,1966
54,패티김,성인가요,살짜기 옵서에,1966
55,송춘희,성인가요,수덕사의 여승,1966
56,문주란,발라드,아카시아의 마음,1966
57,최희준,성인가요,엄처시하,1966
58,이시스터즈,성인가요,울릉도 트위스트,1966
59,최희준,성인가요,종점,1966
60,이미자,성인가요,지평선은 말이 없다,1966
61,문주란,발라드,초우,1966
62,박일남,성인가요,충청도 아줌마,1966
63,이금희,성인가요,키다리 미스터 김,1966
64,이미자,성인가요,평양기생,1966
65,최희준,성인가요,하숙생,1966
66,정원,성인가요,허무한 마음,1966
67,이시스터즈,성인가요,화진포에서 맺은 사랑,1966
68,남진,성인가요,가슴아프게,1967
69,박일남,성인가요,갈대의 순정,1967
70,김세레나,"국악, 국악가요",갑돌이와 갑순이,1967
71,김상희,성인가요,경,1967
72,최희준,성인가요,나는 곰이다,1967
73,김상희,성인가요,대머리 총각,1967
74,남진,성인가요,돈이면 최고냐,1967
75,배호,성인가요,돌아가는 삼각지,1967
76,문주란,발라드,돌지않는 풍차,1967
77,신행일,성인가요,두메산골,1967
78,김상희,성인가요,뜨거워서 싫어요,1967
79,남진,성인가요,마음이 고와야지,1967
80,윤복희,성인가요,마음이 변하기 전에,1967
81,이상열,성인가요,먼데서 왔우다예,1967
82,이상열,성인가요,못잊어서 또왔네,1967
83,현미,성인가요,몽땅 내사랑,1967
84,진송남,성인가요,바보처럼 울었다,1967
85,최희준,성인가요,빛과 그림자,1967
86,태원,성인가요,사랑아 내 사랑아,1967
87,봉봉사중창단,성인가요,사랑을 하면 예뻐져요,1967
88,차중락,성인가요,사랑의 종말,1967
89,패티김,성인가요,사월이 가면,1967
90,여운,성인가요,삼일로,1967
91,김세레나,성인가요,새타령,1967
92,이미자,성인가요,섬마을 선생님,1967
